word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,log_freq,number_of_meanings,avg_variance_between_meanings,PoS,sentiment
abattoir,8,4.2,2.864,4.333,5.455,4.391,2.382,6.76,4.652,5.391,0,5.20432079741897,0,0.0,NOUN,1.0
abbey,5,3.125,5.781,4.667,5.906,5.344,3.324,5.177,5.121,3.303,0,6.625812733404013,0,0.0,NOUN,1.0
abbreviate,10,3.273,5.25,5.235,3.286,3.177,5.121,5.543,2.667,3.971,0,5.146453634455381,0,0.0,VERB,1.0
abdicate,8,4.194,3.767,4.419,3.367,2.516,3.971,6.233,4.679,5.167,0,5.093852263751481,0,0.0,VERB,1.0
abdication,10,3.846,3.88,4.8,3.292,2.571,3.097,6.407,5.083,4.571,0,5.107694887192867,0,0.0,NOUN,1.0
abdomen,7,4.714,5.486,5.441,6.606,6.235,4.636,5.457,3.529,4.6,0,6.17338559006518,0,0.0,NOUN,1.0
abdominal,9,3.875,5.212,4.667,5.735,5.03,4.807,5.706,3.788,4.242,0,6.4899792800863505,0,0.0,NOUN,1.0
abduct,6,4.677,2.177,3.065,4.441,4.265,4.364,5.03,4.438,5.0,0,5.101145379367524,0,0.0,VERB,1.0
abducted,8,5.344,1.969,2.871,4.813,4.212,5.406,5.29,5.161,4.546,0,5.923217587016207,0,0.0,VERB,1.0
abduction,9,5.324,1.618,2.886,4.912,4.8,4.441,5.114,5.059,4.686,0,6.075002840188346,0,0.0,NOUN,1.0
aberration,10,4.852,3.269,4.852,3.208,2.84,2.485,6.414,4.72,4.32,0,5.646464503590617,0,0.0,NOUN,1.0
abide,5,3.875,5.375,4.5,2.485,2.364,4.226,5.697,4.033,4.147,0,6.570870755161744,0,0.0,VERB,1.0
ability,7,5.471,6.912,6.971,2.941,2.515,6.0,4.061,5.029,4.206,0,7.716039163100551,0,0.0,NOUN,1.0
able,4,4.853,7.114,6.886,3.182,3.057,6.206,3.588,4.4,3.647,0,8.03897380303359,0,0.0,ADJ,2.0
abode,5,3.897,5.71,5.8,4.464,4.452,3.303,6.226,4.148,3.567,0,6.095706567461473,0,0.0,NOUN,1.0
abortion,8,3.914,2.588,5.429,5.364,4.303,4.938,6.118,4.939,2.618,0,6.97300378474286,0,0.0,NOUN,1.0
abroad,6,6.548,6.743,5.118,4.559,4.486,6.03,3.857,5.5,3.882,0,7.171357278082099,0,0.0,ADV,1.0
abrupt,6,4.794,3.636,4.629,2.829,2.706,5.235,5.371,4.4,4.6,0,5.964011997609736,0,0.0,ADJ,0.0
absorb,6,4.484,5.438,5.125,3.188,3.576,5.033,4.688,3.719,3.793,0,6.376229382422591,0,0.0,VERB,1.0
abstract,8,4.743,5.294,4.914,1.714,2.171,4.771,5.829,4.324,3.771,0,7.74781468353477,0,0.0,NOUN,1.0
absurd,6,5.452,3.563,4.719,2.065,2.375,4.793,5.281,4.531,4.1,0,6.33223257573731,0,0.0,ADJ,0.0
absurdly,8,4.515,3.394,4.697,2.515,2.469,4.25,5.455,4.727,4.0,0,5.303744520894137,0,0.0,ADV,1.0
abundance,9,4.714,6.576,6.2,3.229,3.971,4.559,6.114,6.143,3.6,0,6.687617327138194,0,0.0,NOUN,1.0
abundant,8,5.235,7.0,6.094,3.0,2.829,5.094,6.143,5.758,3.882,0,6.5367471429224455,0,0.0,ADJ,2.0
abuse,5,4.879,1.563,2.5,3.419,3.909,5.303,5.177,4.743,5.061,0,7.5595437837757515,0,0.0,NOUN,0.0
abuser,6,5.059,1.5,3.743,4.667,5.029,4.441,5.657,5.486,5.571,0,5.6269395471792025,0,0.0,NOUN,1.0
abyss,5,6.226,3.242,3.433,3.177,4.235,3.242,6.182,6.242,4.424,0,6.061606264484977,0,0.0,NOUN,1.0
academic,8,5.733,7.313,5.788,4.03,4.258,6.2,4.939,5.515,4.303,0,7.739462063950716,0,0.0,ADJ,1.0
accelerate,10,6.794,6.382,6.794,4.5,4.625,6.091,5.152,4.849,4.882,0,6.505051165084841,0,0.0,VERB,1.0
accent,6,5.529,5.629,5.182,3.6,3.618,5.875,4.059,4.029,3.853,0,6.780777650703874,0,0.0,NOUN,1.0
accept,6,5.182,6.688,5.969,3.313,3.031,6.194,4.235,4.4,3.273,0,7.635196424300078,0,0.0,VERB,1.0
acceptance,10,4.743,7.5,5.943,2.794,2.559,5.543,4.8,5.343,3.171,0,7.566613284003618,0,0.0,NOUN,1.0
access,6,4.121,6.353,5.794,3.455,3.25,5.469,4.515,3.879,3.941,0,8.338430562660859,0,0.0,NOUN,1.0
accident,8,5.4,2.765,3.029,4.343,4.943,6.235,2.882,4.971,4.114,0,7.2718360326678075,0,0.0,NOUN,0.0
accidental,10,4.382,3.941,4.182,2.941,3.177,5.906,3.324,4.029,3.939,0,6.59262315145986,0,0.0,ADJ,1.0
accordion,9,4.0,5.727,5.441,6.5,6.273,3.794,4.265,3.543,4.147,0,6.086565893670242,0,0.0,NOUN,1.0
accountant,10,2.9,4.433,4.367,5.813,5.226,4.655,5.313,3.966,4.9,0,6.632382878713412,0,0.0,NOUN,1.0
accuse,6,5.742,2.742,4.844,2.344,2.452,5.035,4.563,4.967,4.167,0,6.02051499900275,0,0.0,VERB,1.0
accused,7,4.765,2.546,2.971,3.088,3.382,5.125,4.6,4.314,4.656,0,6.93751352899082,0,0.0,VERB,1.0
ace,3,5.735,7.333,6.129,3.219,3.697,4.393,3.912,4.182,4.433,0,7.046679807538273,0,0.0,NOUN,1.0
ache,4,5.167,2.75,3.313,3.515,3.063,6.039,3.781,3.613,3.903,0,6.029108908136233,0,0.0,NOUN,0.0
aches,5,4.063,2.871,2.813,3.813,3.219,5.655,4.0,3.968,3.867,0,6.047914736697929,0,0.0,NOUN,1.0
achieve,7,6.424,7.75,7.091,2.879,2.677,5.75,4.515,5.233,4.032,0,7.43668363097932,0,0.0,VERB,2.0
achieved,8,6.143,7.886,7.441,2.5,3.088,6.029,4.571,5.343,4.029,0,7.232648789934881,0,0.0,VERB,2.0
achievement,11,6.333,7.938,7.452,2.879,3.875,6.2,4.455,5.71,3.906,0,7.108756287653004,0,0.0,NOUN,2.0
acorn,5,4.364,5.742,5.5,6.724,6.517,4.484,3.061,1.879,3.714,0,6.261417997249115,0,0.0,PROPN,1.0
acquire,7,4.419,6.257,5.939,3.059,2.657,5.121,5.829,4.086,4.161,0,6.944664741552856,0,0.0,VERB,1.0
acrobat,7,5.182,6.031,5.129,5.875,6.032,4.455,4.177,3.618,3.531,0,7.152712736274306,0,0.0,NOUN,1.0
activate,8,5.242,6.471,6.343,3.677,3.294,5.515,4.576,4.212,4.156,0,6.700201825776614,0,0.0,VERB,1.0
active,6,6.531,7.0,6.581,3.75,4.75,6.484,3.581,4.774,4.156,0,7.924717309588924,0,0.0,ADJ,1.0
activity,8,6.086,6.629,6.286,3.97,4.677,5.75,3.4,4.429,4.03,0,7.901096398424585,0,0.0,NOUN,1.0
